description,category
Water from the tap smells weird and leaves my bottle cloudy,drinking water
The supply tastes salty since morning and my throat feels dry,drinking water
Tap flow is fine but the water color looks slightly yellow,drinking water
Refilling bottles late night gives stomach issues,drinking water
The purifier light is on but the water tastes metallic,drinking water
Cold water dispenser gives warm and odd tasting water,drinking water
Even after boiling the supply smells strange,drinking water
The common area tap water feels sticky on hands,drinking water
Water used for brushing leaves bad aftertaste,drinking water
Hydration station near stairs gives muddy smell,drinking water
Morning water caused nausea to multiple students,drinking water
The overhead tank water tastes different every day,drinking water
Water is clear but smells like rust,drinking water
Filling bottles takes long and water tastes stale,drinking water
After drinking hostel water my bottle develops residue,drinking water
The filter noise is fine but output tastes bad,drinking water
Tap water feels oily on lips,drinking water
Even tea tastes strange because of supply quality,drinking water
Water source near lift gives bitter taste,drinking water
The refill point leaks and water tastes odd,drinking water
Floor near the commode is always wet and slippery,washroom
The flush works randomly and smells spread to corridor,washroom
No water pressure in the morning near the sink area,washroom
Drain gets clogged every two days causing overflow,washroom
Broken tiles near the basin are dangerous,washroom
The exhaust fan works but foul smell stays,washroom
Seat cover is cracked and uncomfortable,washroom
Water leaks near the tap causing damp walls,washroom
The mirror area lighting is too dim to use properly,washroom
Handwash area smells bad even after cleaning,washroom
Flush button often gets stuck,washroom
Ceiling above the cubicle is leaking,washroom
The latch on the door is broken,washroom
No mug available and bucket is cracked,washroom
Water accumulates near the drain outlet,washroom
The floor slope causes water to pool,washroom
Pipe noise is loud whenever someone uses it,washroom
Tap knob is loose and sprays everywhere,washroom
Ventilation grill is clogged with dust,washroom
Footrest area is damaged and unsafe,washroom
Ceiling light flickers when exhaust is on,electronics
Fan regulator sparks when adjusted,electronics
Tube light makes buzzing sound at night,electronics
Charging socket is loose and overheats,electronics
Room fan stops suddenly during night,electronics
Extension board trips power randomly,electronics
Switch panel gets warm while using kettle,electronics
Study lamp stopped working suddenly,electronics
Wall socket fell out of the board,electronics
Emergency light does not turn on during cuts,electronics
The bell switch outside room doesn’t respond,electronics
Fan speed fluctuates without touching regulator,electronics
Power socket makes crackling noise,electronics
Light turns off when fan is turned on,electronics
Adapter sparks when plugged in,electronics
Exhaust fan in corridor stopped working,electronics
Plug point near bed is dead,electronics
Room heater indicator is on but no heat,electronics
Switches are broken and stuck inside,electronics
Night lamp flickers continuously,electronics
Rice served at night was undercooked,messfood
